"Structure",Lambda,Avg J_t,Avg J_cv,Avg F1_score
"33 3 1",0.01,0.05748043770299967,0.33453948476670503,0.9397273779918157
"33 4 1",0.01,0.05460369835162106,0.33846879348554115,0.9328980367972042
"33 5 1",0.01,0.055955055364945674,0.35365249260046183,0.9395191055145462
"33 4 2 1",0.01,0.03698994438109664,0.36368643133971157,0.9415206282776614
"33 3 3 1",0.01,0.04269400957735539,0.3699067586523811,0.9319565217391304
"33 2 1",0.01,0.05832524084367384,0.371908526468849,0.9352563739873772
"33 4 4 1",0.01,0.034442835273952976,0.378660601835762,0.9367491258721217
"33 3 4 1",0.01,0.039120145438537965,0.392058034972573,0.9403910673119078
"33 5 2 1",0.01,0.035652093716606256,0.395373418760995,0.9362645069128483
"33 4 1 1",0.01,0.053481459001998424,0.40920519943607314,0.9331910258025718
"33 5 5 1",0.01,0.03909956464112656,0.41302895911800147,0.938194762147844
"33 3 1",0.1,0.23720443361090554,0.4163660787575331,0.9068088973710753
"33 3 5 1",0.01,0.039146489335193914,0.41722531976326105,0.9280484806881939
"33 5 1",0.1,0.24166738847441702,0.41757220200255124,0.9209606742970055
"33 3 1 1",0.01,0.039693826437757984,0.41826382750819996,0.9348601792243262
"33 2 3 1",0.01,0.054544604523342574,0.4185893674411232,0.9361803570121289
"33 2 1",0.1,0.23987968902935536,0.42264989523829044,0.9159071226790692
"33 3 2 1",0.01,0.03797100661482902,0.4247163280995682,0.922494395333746
"33 2 2 1",0.01,0.05622738038401117,0.4308335087003338,0.9244072154286782
"33 2 4 1",0.01,0.03972284444540623,0.4309039189784684,0.9324276788729676
"33 5 1 1",0.01,0.03699806703423846,0.43115858012885233,0.9289627004298696
"33 4 1",0.1,0.23746525196212337,0.4312923594445584,0.9200571103557056
"33 5 3 1",0.01,0.0354710190038276,0.4378450834383889,0.922575785608163
"33 4 3 1",0.01,0.041644863256847436,0.44000314277450797,0.9172756706753006
"33 1 1",0.1,0.2600895187878079,0.4422314754444664,0.90516454592938
"33 5 4 1",0.01,0.035665419388269545,0.4525574926269125,0.9318113128300125
"33 1 1",0.01,0.16890420593781946,0.45286426048277767,0.923529806903667
"33 4 3 1",0.1,0.23685476120332613,0.45346778434544965,0.9074087838875073
"33 2 5 1",0.01,0.04594393956607956,0.4543891254216871,0.9391506405213951
"33 5 5 1",0.1,0.23585295700802417,0.45518227945452755,0.9168769460353312
"33 3 4 1",0.1,0.21865051861515022,0.4557106777934531,0.9139769540255201
