"Structure",Lambda,Avg J_t,Stddev J_t,Avg J_cv,Stddev J_cv,Avg F1_score,Stddev F1_score
"8 2 4 1",0.01,0.4436657359715568,0.0035778648853482193,0.4807100661105522,0.03372695562486874,0.6582637129047822,0.0401567764298241
"8 2 5 1",0.01,0.4423430218710284,0.005142541385680951,0.4837974818303331,0.048452268145631174,0.6628294561144856,0.052890081679652076
"8 2 3 1",0.01,0.4444402806317377,0.00797500026365762,0.4846507029120479,0.0699653656808744,0.6649784102944893,0.08025826779098365
"8 3 1",0.01,0.4372603684078255,0.006375374940026733,0.48828540231240974,0.04505160406327548,0.6747622550950435,0.05919775310994321
"8 1 4 1",0.01,0.46839604163648085,0.004794266294743631,0.4891422761593581,0.037281991093342126,0.6449305528779135,0.051392706898542834
"8 1 1",0.01,0.4690852484743394,0.00794720564335795,0.49210834210136767,0.06310652641266878,0.6305069433069025,0.052648469934624145
"8 1 3 1",0.01,0.4697769403591649,0.005186520666725213,0.49225997732462934,0.05229700900274609,0.6310853000274715,0.08399027153468443
"8 2 2 1",0.01,0.44996425668740736,0.006681596331215254,0.4924957526249594,0.05971608655508646,0.6185763631152104,0.09657789585852661
"8 3 3 1",0.01,0.44386482339882416,0.007301231586097967,0.49349387429827835,0.02453528772992866,0.6107761436362139,0.04745685502934803
"8 1 2 1",0.01,0.4695927293445175,0.005336190957443875,0.4955013716127382,0.05977455927969336,0.6298732459165368,0.08088355950300537
"8 3 2 1",0.01,0.43528969818941315,0.01014120421189349,0.49688236770830113,0.08606754370825127,0.6445359853665704,0.09137441989575419
"8 1 5 1",0.01,0.46892781468655775,0.00889947419077959,0.4970031518508085,0.06596565301464558,0.6200412737033514,0.0846713763426345
"8 5 1",0.01,0.42612670700030264,0.006107956569985805,0.497083291944287,0.03808893981928701,0.6475131203822192,0.046400869478322365
"8 4 1",0.01,0.42807864979067256,0.008172759830111427,0.4971551649335012,0.05646887659795676,0.640180863705895,0.0620766899043189
"8 4 4 1",0.01,0.43064533012828327,0.00974881364677112,0.49761391248390935,0.046837160147220946,0.607246422459047,0.06358517113514905
"8 3 5 1",0.01,0.4373949221796568,0.01108590659311992,0.4978186827741188,0.09062686723248779,0.6391457417659238,0.0800708348675327
"8 3 4 1",0.01,0.43428190183866117,0.007051848687628813,0.4988713845172609,0.0843617009826445,0.6470951150638024,0.09104711202938152
"8 2 1",0.01,0.45477045014096706,0.014518517640363743,0.5008720806590035,0.058519700607637,0.5892203184028955,0.0885384971960836
"8 3 1 1",0.01,0.45556925119917757,0.008542992947232148,0.5031927231451201,0.04303314928892118,0.6141365660195647,0.09595973010990418
"8 1 1 1",0.01,0.4888690035224924,0.052927236432984706,0.5035891381114808,0.06376718979718404,0.601872994115519,0.20854190877631607
"8 4 2 1",0.01,0.43432322635730725,0.009915483122740206,0.5067627089087808,0.029369832260625332,0.6080063814454608,0.07602588358017752
"8 4 1 1",0.01,0.4322637576844938,0.00650094596076359,0.5068920618892891,0.061344914059861096,0.6394773615442308,0.05995278293481403
"8 4 3 1",0.01,0.4350407545554679,0.006886230270668679,0.5069349741693341,0.05835395128267831,0.668623323891986,0.07126203587926624
"8 5 3 1",0.01,0.43705280599105667,0.011817210521912027,0.5073297018939429,0.04603346513235595,0.6130413757683728,0.04805500011561455
"8 2 1 1",0.01,0.46886734891322757,0.05945138048654919,0.5125560038655379,0.06893809451196406,0.5575582689930412,0.19641883389589865
"8 5 5 1",0.01,0.433338311491561,0.009469646242910072,0.5139562703545032,0.0568716063728914,0.6661062298253893,0.06207716590496063
"8 4 5 1",0.01,0.4287922272844512,0.009005387889688903,0.5144348250837858,0.04870627044340878,0.6266559938193922,0.03599633272259024
"8 5 1 1",0.01,0.4381503125407306,0.01132372896800826,0.5175032779245383,0.06470557222660606,0.6481415114137599,0.07055417066415204
"8 5 4 1",0.01,0.4201123800833373,0.006967041195076545,0.5206675510349934,0.06688131040083181,0.6298099897497643,0.06892446632948301
"8 2 1",0.1,0.4815583140162018,0.007655388673269254,0.5247374622548447,0.053401698080116564,0.6357360511913634,0.07716666718681585
"8 3 1",0.1,0.48275296101833653,0.006691666654416805,0.5290128446325231,0.04519091482153281,0.6117804907513686,0.07573706665749504
"8 5 1",0.1,0.48066552911751426,0.006471001513263229,0.5290839328062914,0.050694476289594406,0.629900277201392,0.081690188338814
"8 4 1",0.1,0.4818773931059267,0.006683788031803858,0.5299014589682243,0.05563125680731151,0.6131328405438257,0.09060094576827663
"8 1 1",0.1,0.48149229121962883,0.007324935020451771,0.5307587998030768,0.059328165870935395,0.6194356102214391,0.08613791187993491
