Structure    Lambda     Avg J_t              Avg J_cv             Avg F1_score        
8 2 4 1      0.01       0.4436657359715568   0.4807100661105522   0.6582637129047822  
8 2 5 1      0.01       0.4423430218710284   0.4837974818303331   0.6628294561144856  
8 2 3 1      0.01       0.4444402806317377   0.4846507029120478   0.6649784102944893  
8 3 1        0.01       0.4372603684078256   0.4882854023124098   0.6747622550950435  
8 1 4 1      0.01       0.46839604163648085  0.48914227615935807  0.6449305528779135  
8 1 1        0.01       0.4690852484743394   0.49210834210136767  0.6305069433069023  
8 1 3 1      0.01       0.469776940359165    0.49225997732462934  0.6310853000274717  
8 2 2 1      0.01       0.44996425668740736  0.4924957526249594   0.6185763631152104  
8 3 3 1      0.01       0.44386482339882427  0.49349387429827835  0.610776143636214   
8 1 2 1      0.01       0.4695927293445175   0.4955013716127382   0.6298732459165369  
8 3 2 1      0.01       0.4352896981894131   0.49688236770830113  0.6445359853665704  
8 1 5 1      0.01       0.46892781468655775  0.49700315185080857  0.6200412737033514  
8 5 1        0.01       0.42612670700030264  0.4970832919442871   0.6475131203822194  
8 4 1        0.01       0.42807864979067267  0.4971551649335012   0.640180863705895   
8 4 4 1      0.01       0.43064533012828327  0.49761391248390935  0.607246422459047   
8 3 5 1      0.01       0.4373949221796568   0.4978186827741188   0.6391457417659238  
8 3 4 1      0.01       0.43428190183866117  0.4988713845172609   0.6470951150638024  
8 2 1        0.01       0.45477045014096706  0.5008720806590035   0.5892203184028955  
8 3 1 1      0.01       0.45556925119917757  0.5031927231451201   0.6141365660195646  
8 1 1 1      0.01       0.4888690035224924   0.5035891381114809   0.601872994115519   
8 4 2 1      0.01       0.43432322635730714  0.5067627089087808   0.6080063814454607  
8 4 1 1      0.01       0.4322637576844938   0.5068920618892891   0.6394773615442308  
8 4 3 1      0.01       0.4350407545554679   0.5069349741693341   0.668623323891986   
8 5 3 1      0.01       0.4370528059910567   0.5073297018939429   0.6130413757683728  
8 2 1 1      0.01       0.46886734891322757  0.5125560038655379   0.5575582689930412  
8 5 5 1      0.01       0.4333383114915609   0.5139562703545032   0.6661062298253893  
8 4 5 1      0.01       0.42879222728445116  0.5144348250837858   0.6266559938193922  
8 5 1 1      0.01       0.4381503125407306   0.5175032779245383   0.6481415114137599  
8 5 4 1      0.01       0.4201123800833373   0.5206675510349934   0.6298099897497644  
8 2 1        0.1        0.4815583140162018   0.5247374622548447   0.6357360511913634  
8 3 1        0.1        0.48275296101833653  0.529012844632523    0.6117804907513686  
8 5 1        0.1        0.48066552911751426  0.5290839328062914   0.629900277201392   
8 4 1        0.1        0.4818773931059267   0.5299014589682243   0.6131328405438257  
8 1 1        0.1        0.48149229121962883  0.5307587998030768   0.6194356102214392  
8 5 2 1      0.01       0.42692953684246226  0.5392335781446562   0.6321561306754204  
8 5 4 1      0.1        0.500122166431401    0.5416509947227083   0.5673759043982122  
8 5 5 1      0.1        0.5018279670364897   0.5456657206564929   0.5634796006908239  
8 4 4 1      0.1        0.5208908821700955   0.5639079789987599   0.45884895536525294 
8 3 5 1      0.1        0.5315133275679031   0.5695965037847581   0.42800746055609273 
8 5 3 1      0.1        0.5396239816138488   0.5704270223875177   0.4519212049249597  
8 2 3 1      0.1        0.5336420890849045   0.5773849504894359   0.4656321452813691  
8 5 2 1      0.1        0.5289447855483026   0.5775953521400188   0.43520306165458644 
8 2 4 1      0.1        0.5313640961061227   0.5786247085727516   0.43141749562075304 
8 3 4 1      0.1        0.5192621464252605   0.5826004011700124   0.46458212335499854 
8 1 5 1      0.1        0.5509055600467422   0.584660542826928    0.3728002718201064  
8 4 3 1      0.1        0.5324379400037261   0.587573966376341    0.4205916919959473  
8 4 2 1      0.1        0.5811184061975754   0.6037795328185893   0.25966312056737595 
8 3 2 1      0.1        0.5881950932865581   0.6044467088495218   0.27862726986631137 
8 3 3 1      0.1        0.5826225307689203   0.6047174958288215   0.24951155242777726 
8 1 3 1      0.1        0.5600203334645654   0.6066517015463345   0.4024186949520968  
8 2 1 1      0.1        0.5985107572667406   0.6072127217337486   0.19609582963620228 
8 4 5 1      0.1        0.5749413280363755   0.6074009968692573   0.25465047233468285 
8 1 4 1      0.1        0.5978660752240594   0.6094578611292226   0.20028657616892911 
