"Structure",Lambda,Avg J_t,Stddev J_t,Avg J_cv,Stddev J_cv,Avg F1_score,Stddev F1_score
"30 3 1",0.01,0.050543976963569937,0.00431095800726918,0.10264060680103378,0.04620394128989065,0.9638122238887981,0.02859917786603641
"30 3 5 1",0.01,0.050477703681227545,0.00690833513334738,0.10610374233407056,0.05192447303560872,0.9635957736723476,0.020226791115830825
"30 5 5 1",0.01,0.052034846525288295,0.009696270011079963,0.11043410473100737,0.046860256531135715,0.9616473543472976,0.019072263917716346
"30 2 1",0.01,0.052361057949446524,0.004878764420970787,0.11086543338611228,0.04935295973107321,0.9606711779428739,0.03205698304975655
"30 5 1",0.01,0.05006442356988412,0.003802589815378187,0.11186116409661825,0.053770968564306,0.9569964035029563,0.031042164319509007
"30 4 1",0.01,0.05890806377440248,0.0063810559023840955,0.11361003663081051,0.05620157791462378,0.9564475457054333,0.03459232386662716
"30 2 4 1",0.01,0.06018055237535258,0.016271906108608524,0.11542300284080545,0.06140929588770935,0.9560472851028722,0.026978157786773517
"30 2 5 1",0.01,0.03471159530322631,0.005919685299815794,0.11543694239291191,0.044591163437695,0.9689652009929948,0.01862216468282522
"30 5 4 1",0.01,0.050305568931532985,0.011920656345570069,0.11665094484790368,0.07304739877656327,0.9609639953542393,0.02488921605366668
"30 1 1",0.01,0.05699551965630496,0.005637762305656347,0.11667963408356101,0.06065734324744843,0.9587691170618001,0.029126672598086198
"30 4 4 1",0.01,0.03977800333534097,0.012791164152525642,0.11824991162899223,0.062051276410632614,0.9687142503932067,0.024650587745084673
"30 3 2 1",0.01,0.06668772976621998,0.014339746680282336,0.11846329041133823,0.06024426780186369,0.9600749320834702,0.02900783821707918
"30 1 3 1",0.01,0.049826689709826,0.005303082053345039,0.1185450468111354,0.05674229547630464,0.956354255500597,0.02546150062250847
"30 4 2 1",0.01,0.050447024074593824,0.01488468347733285,0.12123777756286971,0.08476286868411297,0.9618327786790634,0.02818324402749122
"30 1 4 1",0.01,0.04679189174215112,0.005591109414090826,0.12144268366786248,0.05703603436695924,0.9596640008381356,0.01563606798449973
"30 3 1 1",0.01,0.057927610841741486,0.007349987497992229,0.12161675366369766,0.06501042409188568,0.9633833022715608,0.025830243541138147
"30 3 4 1",0.01,0.04745528564957328,0.00819038222914865,0.12342908720904126,0.05607760176214776,0.955840643445763,0.025430017649282974
"30 2 2 1",0.01,0.05204059872825656,0.013493340765859396,0.12417384444760433,0.03454172440129649,0.9605355393330435,0.01733097426604766
