Structure    Lambda     Avg J_t                Stddev J_t             Avg J_cv               Stddev J_cv            Avg F1_score           Stddev F1_score       
13 5 4 3     0.01       0.05092390702979723    0.0018896315770918857  0.2305103288159275     0.06803248724780897    0.9833514633514632     0.025646500165107985  
13 3 5 3     0.01       0.04849077532215764    0.0012103831847553386  0.24213339403928344    0.08118831473018533    0.9774255374255375     0.02786532546959304   
13 4 3 3     0.01       0.053759849602880605   0.001225953024650193   0.24369099746545148    0.0911073738568046     0.9771225071225069     0.03858354606392038   
13 5 5 3     0.01       0.04800151799085278    0.0011358960850971767  0.2503123106276062     0.1114274683257744     0.9763103563103563     0.03839430582708284   
13 3 4 3     0.01       0.051024989869299285   0.001754049102199676   0.2541809269559314     0.10148302137489655    0.9766563066563065     0.03974363160219544   
13 2 5 3     0.01       0.04979253162714386    0.0011318695412543382  0.2546731033552097     0.09153115556373045    0.9782232582232581     0.026755989883965704  
13 5 3       0.01       0.07450774409001967    0.004176870277349105   0.2549216425358235     0.08547624033203431    0.9763111888111888     0.0403396542319736    
13 2 4 3     0.01       0.052508552415862844   0.001131176660629154   0.25530384556642993    0.07765200311289411    0.9770836570836572     0.02819254830908988   
13 4 3       0.01       0.0761356003901269     0.008826583095042227   0.2580355880519201     0.06372154610004774    0.9834757834757835     0.025412083328749637  
13 4 4 3     0.01       0.05033962734084428    0.0015435059516007246  0.2583350634369503     0.09758424274459836    0.9782476782476783     0.036322725259669356  
13 4 5 3     0.01       0.04817879273478883    0.0010084056512114788  0.26549970767616865    0.1202641869605419     0.9712494912494911     0.03855561578861283   
13 2 3 3     0.01       0.056649557723561915   0.0037956221398873654  0.26709224143664223    0.0933933408554403     0.9766483516483516     0.04117672745264852   
13 5 3 3     0.01       0.054401949573145106   0.002723488447587072   0.26939363498322916    0.11771195475756936    0.977781477781478      0.036726421054993345  
13 3 3 3     0.01       0.054118180004170936   0.0016802632249667225  0.2711312852555106     0.1454053826761503     0.9774214674214674     0.04516136238020464   
13 3 3       0.01       0.07993712342334361    0.006992854552358069   0.2877118291646993     0.07804627787360269    0.9728360528360527     0.02720140229417289   
13 4 2 3     0.01       0.06854890069948602    0.0011113466877979519  0.29404578260819403    0.11308992082911846    0.9735246235246235     0.04293115939349357   
13 2 2 3     0.01       0.06989826311980031    0.0017011025376729295  0.2951538778097469     0.07309900083320002    0.9777570577570577     0.0273010962900132    
13 2 3       0.01       0.08600095150176948    0.00314116574608932    0.2977162161327128     0.08525847322097915    0.9714892514892515     0.028637205026395367  
13 3 2 3     0.01       0.06869912692912944    0.0006230561841754279  0.2988023297267848     0.09715797352524631    0.9732565909036497     0.03609558804998013   
13 5 2 3     0.01       0.0683700386567471     0.0018035269766837141  0.3038024085909002     0.1321630040302674     0.9664202464202465     0.04539387255345008   
13 1 5 3     0.01       0.3248620838880103     0.1082725246393502     0.6124012048972152     0.22461810329944157    0.8983790283790283     0.07359334184657339   
13 1 2 3     0.01       0.4030354152193925     0.08627773673044557    0.7009572819134748     0.24199501289112443    0.890534498181557      0.07949891097321665   
13 1 4 3     0.01       0.34567579043031393    0.07604471142504525    0.7186930783357062     0.33570650808528774    0.917422114922115      0.07869389028184842   
13 1 3 3     0.01       0.44265952304043016    0.11530265252807786    0.742306114401462      0.332593698807238      0.874563062210121      0.09110911078290834   
13 5 3       0.1        0.4048779302485427     0.01220923451121278    0.8412793587011784     0.07392078142613015    0.9830095830095829     0.026079461315677642  
13 3 3       0.1        0.4294001824676519     0.010050789494347116   0.8814835767521758     0.08145346171179753    0.9777389277389277     0.044522229273457524  
13 3 1 3     0.01       0.7308109024666261     0.02941039372638026    0.9077512196667833     0.031265355374765665   0.9702149702149703     0.030295060016121526  
13 2 1 3     0.01       0.749018348802329      0.001789114638015426   0.9125546583027859     0.042165513968438144   0.9830095830095829     0.026079461315677642  
13 4 1 3     0.01       0.7302594167542187     0.02914448469057811    0.9261171855863776     0.07349897782881397    0.9679390054390055     0.04738268443928627   
13 4 3       0.1        0.4636083085979619     0.037979395909766824   0.9292516276397549     0.13697793904503835    0.9698198424669012     0.042274288409356535  
13 5 1 3     0.01       0.7424773649605833     0.05176378516478798    0.9365958562371237     0.07533075903822212    0.9073263555616498     0.12721866761130526   
13 3 5 3     0.1        0.37003601408757897    0.0075855947741638625  0.9437658198445144     0.06187837030043488    0.9896192696192696     0.020763321757759065  
13 2 3       0.1        0.5164044078956207     0.019113251003594612   0.9701423073530439     0.11670742944405108    0.9701343101343103     0.03891912231450048   
13 4 5 3     0.1        0.5194206609372956     0.4569441427144018     1.0278670062332833     0.29504608829726087    0.8966160321160321     0.2406124049961176    
13 5 5 3     0.1        0.5135432426561951     0.45938611582133554    1.0362296016602164     0.291629286619755      0.9020463487130155     0.2363567060743671    
13 5 4 3     0.1        0.5245165808967437     0.4552444569255338     1.040425264320786      0.30039280979526833    0.907146335146335      0.24124272466490274   
13 1 3       0.01       0.9134778283135144     0.03253655713563083    1.0475253713906683     0.06557549937656265    0.7050264893918146     0.1503370115352205    
13 3 4 3     0.1        0.5333733526089095     0.45223839862389376    1.0532916644402481     0.29083172776451005    0.9079440559440559     0.24135611219315883   
13 4 4 3     0.1        0.6792022185101192     0.6052797070898613     1.1356817083207122     0.3938666976890595     0.8261833721833721     0.32145484667855695   
13 3 3 3     0.1        0.694979452571913      0.5975652413799528     1.1642521610953924     0.37003385984962733    0.8213581973581974     0.31818919701932946   
13 1 1 3     0.01       1.0713521492836449     0.2775458702244599     1.1643325792520602     0.2548085106741538     0.5261192725403252     0.11588386582093595   
13 2 4 3     0.1        0.6977813436447008     0.5965646015877281     1.1680664088543136     0.3665673913658373     0.8217956364623031     0.3167325469735122    
13 2 3 3     0.1        0.7097740949443379     0.5902007411736717     1.1874297835191348     0.3608778634957029     0.8261833721833721     0.32145484667855695   
13 5 3 3     0.1        0.8400808696330438     0.6876179351701844     1.2410103913928554     0.4287242588301483     0.7511833721833722     0.3682355998438677    
13 3 2 3     0.1        0.8711632634693854     0.5611113551484418     1.2644756657195146     0.35097790917621613    0.735456133238742      0.32158673792731274   
13 4 2 3     0.1        0.8697640541396044     0.5668661788971855     1.2796184033756521     0.34240745261194716    0.7400888346832619     0.3190010699395216    
13 5 2 3     0.1        0.8862910690943313     0.6576072741855764     1.2879026592627656     0.39995763142792984    0.7469005776831864     0.3638075525696552    
13 2 5 3     0.1        0.9890474276114611     0.735693733897185      1.3288689854393412     0.46101202731294677    0.6715035302861391     0.3928225602128191    
13 1 3       0.1        1.176112456434277      0.040535256965000196   1.4300730454039452     0.05341497416771529    0.6018034184597651     0.09154662398066067   
13 4 3 3     0.1        1.1425087207468188     0.7485960711941337     1.4303118160546542     0.4603262805402716     0.5865032589525343     0.39396939726742414   
13 2 2 3     0.1        1.1817159042266518     0.7083450981255373     1.4913897831349878     0.4061376974485594     0.5933333333333334     0.4066666666666666    
13 1 5 3     0.1        1.3259955361046931     0.3701744648952717     1.5455295501496056     0.22380724225665977    0.44389259768397826    0.16453329115651685   
13 1 4 3     0.1        1.3865983273461837     0.4190476224876175     1.5835276490252106     0.2501654145394089     0.44559033821505223    0.2202889496133109    
13 1 3 3     0.1        1.500995076698166      0.3902307642609064     1.6571654702834588     0.2413747486921585     0.40367543440541154    0.22640637906658317   
13 5 1 3     0.1        1.5131237349883944     0.3786607644062073     1.6731077318238516     0.22028021004132456    0.3728846974987326     0.18313138401672116   
13 4 1 3     0.1        1.5211061023166512     0.3709399690802241     1.6776977010274627     0.217661929868899      0.3713840656434545     0.18331454152101326   
13 1 2 3     0.1        1.5947307797684964     0.36368464140170353    1.7007565947960732     0.23224948338949636    0.3393823590597046     0.18273254292230823   
